time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448800000	20.2882	13.7723	-3.08815	-63.9077	0.171129	lidar	173.827	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	20.29	13.9287	-3.10103	-64.0148	0.0513745	radar	8.84414	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	20.0981	14.3976	-3.68821	-63.9252	0.073997	lidar	159.813	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	20.0659	14.5891	-3.71029	-63.9928	-0.00926019	radar	8.40647	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.8464	15.0411	-4.23337	-63.9288	0.00881663	lidar	103.142	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.7525	15.2452	-4.25715	-63.9294	0.0103018	radar	3.64428	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.51	15.7145	-4.76797	-63.8858	0.0196234	lidar	84.8737	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	19.3398	15.9285	-4.81209	-63.8281	0.117847	radar	17.5853	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	19.0631	16.3901	-5.28042	-63.793	0.121364	lidar	67.1424	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.9519	16.6302	-5.28175	-63.8247	0.056001	radar	2.45157	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.6497	17.0121	-5.61241	-63.7864	0.0681944	lidar	34.026	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.4817	17.2414	-5.61776	-63.7791	0.0756743	radar	0.21008	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.2753	17.5863	-5.79854	-63.779	0.0674092	lidar	12.1102	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	18.0511	17.779	-5.79015	-63.7183	0.190331	radar	7.00837	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.8661	18.0429	-5.83977	-63.7146	0.184525	lidar	1.73821	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6836	18.2646	-5.83555	-63.6884	0.238082	radar	9.30178	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4607	18.53	-5.91419	-63.6756	0.236794	lidar	2.06317	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2272	18.7096	-5.90405	-63.62	0.33426	radar	5.70364	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.0518	18.9052	-5.86096	-63.6101	0.329175	lidar	0.90365	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.8348	19.1109	-5.87287	-63.5774	0.373774	radar	4.68585	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.6175	19.2618	-5.82428	-63.5503	0.38344	lidar	2.47364	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.3792	19.4468	-5.84222	-63.5072	0.442923	radar	5.29337	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.1675	19.6219	-5.82008	-63.4882	0.440365	lidar	0.25136	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	15.8975	19.7352	-5.80474	-63.4249	0.520573	radar	12.9443	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.7122	19.8803	-5.73417	-63.4081	0.51319	lidar	2.5499	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.4831	20.0302	-5.71405	-63.391	0.492886	radar	2.69144	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.2796	20.1729	-5.66673	-63.373	0.487418	lidar	1.3268	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.0342	20.3338	-5.6851	-63.35	0.490328	radar	4.44089	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	14.8736	20.4512	-5.57264	-63.3368	0.4818	lidar	6.08392	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.612	20.5515	-5.56933	-63.293	0.518824	radar	2.88328	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.427	20.6501	-5.47778	-63.2728	0.515379	lidar	3.36559	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.1649	20.7513	-5.48965	-63.2319	0.548365	radar	0.995992	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	13.9492	20.8021	-5.40549	-63.1962	0.560119	lidar	3.0911	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.6913	20.8852	-5.4089	-63.1584	0.581823	radar	0.363965	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.4496	20.9227	-5.35869	-63.1184	0.595637	lidar	2.16004	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.1846	20.9636	-5.35944	-63.0656	0.643319	radar	2.70094	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	12.9683	20.9799	-5.27786	-63.0262	0.654304	lidar	2.42167	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.7239	21.0454	-5.26546	-63.0048	0.635914	radar	2.11112	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.5502	21.0664	-5.14555	-62.975	0.638431	lidar	5.87415	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.2894	21.1118	-5.15771	-62.9481	0.629997	radar	1.85376	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.0702	21.1259	-5.10407	-62.9155	0.633421	lidar	1.06614	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.8253	21.1498	-5.09449	-62.8868	0.630439	radar	1.16048	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.606	21.1009	-5.02489	-62.8365	0.654263	lidar	3.4588	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.3556	21.0901	-5.01665	-62.804	0.649338	radar	1.22729	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.1602	21.0663	-4.93942	-62.7685	0.655961	lidar	2.32265	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	10.9054	21.0292	-4.94156	-62.7319	0.655324	radar	3.9586	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7127	20.9767	-4.8656	-62.6903	0.668454	lidar	1.97879	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.4655	20.9763	-4.85025	-62.6883	0.605257	radar	6.06681	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2054	20.9904	-4.88605	-62.6786	0.580529	lidar	2.65861	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	9.96821	20.9725	-4.87614	-62.6628	0.558615	radar	1.25669	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.78489	20.9248	-4.80005	-62.6309	0.565845	lidar	2.64097	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.552	20.9168	-4.76883	-62.6363	0.501408	radar	3.10392	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.36742	20.8582	-4.70325	-62.6044	0.511213	lidar	1.68898	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.14795	20.817	-4.68893	-62.5853	0.502474	radar	1.67554	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.86908	20.7802	-4.75855	-62.5735	0.485538	lidar	1.72867	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.65678	20.7007	-4.73741	-62.5411	0.495537	radar	4.4521	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.39083	20.6139	-4.79257	-62.514	0.496627	lidar	2.39946	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.16645	20.5331	-4.79269	-62.4863	0.501841	radar	0.0609907	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
